392.00;106.60
340.0;85.10
399.0;73.40
541.00;162.30
471.00;147.10
437.00;115.10
397.00;106.80
465.00;114.80
441.00;122.80
490.00;139.90
458.00;104.70
465.00;127.70
498.00;139.30
569.00;157.40
407.00;118.50
547.00;179.00
496.00;155.30
437.00;118.40
448.00;125.00
403.00;123.90
424.00;117.10
593.00;187.40
396.0;83.80
518.00;154.00
585.00;177.70
362.00;111.70
320.0;72.60
472.00;134.20
459.00;136.70
436.00;116.70
427.00;125.80
566.00;175.70
418.00;131.40
472.00;122.60
482.00;136.40
411.00;120.70
506.00;158.40
395.00;109.10
525.00;162.10
413.00;106.70
442.00;123.40
505.00;155.80
475.00;155.70
445.00;124.70
408.00;117.00
449.00;124.50
465.00;140.70
382.00;113.90
468.00;142.00
464.00;143.20
521.00;139.60
378.00;103.80
369.0;84.30
460.00;136.80
440.00;128.50
426.00;129.10
430.00;104.30
421.00;126.90
546.00;177.00
353.0;62.60
496.00;143.10
478.00;136.60
452.00;140.50
545.00;145.30
359.0;71.90
467.00;135.10
525.00;148.30
345.0;95.90
495.00;150.90
391.0;98.20
542.00;146.10
483.00;147.00
544.00;166.70
568.00;168.50
506.00;153.50
522.00;143.80
340.0;93.50
352.0;87.70
553.00;159.10
320.0;64.50
591.00;178.50
353.0;98.00
463.00;121.20
485.00;138.60
487.00;146.00
386.0;95.50
400.00;106.30
428.00;113.70
452.00;131.00
411.00;115.20
496.00;141.70
473.00;136.40
